"filename", "language", "Markdown", "Log", "TeX", "Rust", "LaTeX", "BibTeX", "Makefile", "Shell Script", "Python", "XML", "C++", "comment", "blank", "total"
"d:\OSH\x-runikraft\README.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 75
"d:\OSH\x-runikraft\core\src\align_as.rs", "Rust", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 4, 36
"d:\OSH\x-runikraft\core\src\bitcount.rs", "Rust", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 28, 9, 78
"d:\OSH\x-runikraft\core\src\compat_list\list.rs", "Rust", 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 31, 24, 208
"d:\OSH\x-runikraft\core\src\compat_list\mod.rs", "Rust", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 3, 15
"d:\OSH\x-runikraft\core\src\compat_list\slist.rs", "Rust", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 22, 18, 123
"d:\OSH\x-runikraft\core\src\compat_list\stailq.rs", "Rust", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 26, 20, 163
"d:\OSH\x-runikraft\core\src\compat_list\tailq.rs", "Rust", 0, 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 38, 28, 268
"d:\OSH\x-runikraft\core\src\config.rs", "Rust", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 6, 2, 12
"d:\OSH\x-runikraft\core\src\errno.rs", "Rust", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 106, 2, 208
"d:\OSH\x-runikraft\core\src\lib.rs", "Rust", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 26, 5, 37
"d:\OSH\x-runikraft\default_config.rs", "Rust", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 10, 7, 40
"d:\OSH\x-runikraft\dev-test\src\thread_context.rs", "Rust", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\OSH\x-runikraft\dev-test\src\trap.rs", "Rust", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\OSH\x-runikraft\dev-test\src\uart.rs", "Rust", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"d:\OSH\x-runikraft\doc\assets\Runikraft_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1679, 0, 0, 18, 1697
"d:\OSH\x-runikraft\lib\rkalloc\alloc_error_handler.rs", "Rust", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 4, 15
"d:\OSH\x-runikraft\lib\rkalloc\src\lib.rs", "Rust", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 90, 26, 221
"d:\OSH\x-runikraft\lib\rkalloc_buddy\src\debug.rs", "Rust", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 4, 36
"d:\OSH\x-runikraft\lib\rkalloc_buddy\src\lib.rs", "Rust", 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 105, 41, 434
"d:\OSH\x-runikraft\lib\rkalloc_buddy\support\find_data_size.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 5, 5, 48
"d:\OSH\x-runikraft\lib\rkblkdev\src\blkdev.rs", "Rust", 0, 0, 0, 245, 0, 0, 0, 0, 0, 0, 0, 382, 40, 667
"d:\OSH\x-runikraft\lib\rkblkdev\src\blkdev_core.rs", "Rust", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 109, 24, 221
"d:\OSH\x-runikraft\lib\rkblkdev\src\blkdev_driver.rs", "Rust", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 75, 12, 144
"d:\OSH\x-runikraft\lib\rkblkdev\src\blkfront.rs", "Rust", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 73, 6, 101
"d:\OSH\x-runikraft\lib\rkblkdev\src\blkreq.rs", "Rust", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 83, 13, 146
"d:\OSH\x-runikraft\lib\rkblkdev\src\lib.rs", "Rust", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 45, 17, 145
"d:\OSH\x-runikraft\lib\rkboot\src\lib.rs", "Rust", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 27, 24, 173
"d:\OSH\x-runikraft\lib\rkgpu\src\lib.rs", "Rust", 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 33, 15, 181
"d:\OSH\x-runikraft\lib\rkinput\src\lib.rs", "Rust", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 26, 10, 38
"d:\OSH\x-runikraft\lib\rklock\src\lib.rs", "Rust", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 26, 7, 40
"d:\OSH\x-runikraft\lib\rklock\src\mutex.rs", "Rust", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 2, 8, 92
"d:\OSH\x-runikraft\lib\rklock\src\semaphore.rs", "Rust", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 6, 54
"d:\OSH\x-runikraft\lib\rkmbox\src\lib.rs", "Rust", 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 45, 38, 192
"d:\OSH\x-runikraft\lib\rknetdev\src\lib.rs", "Rust", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 26, 5, 36
"d:\OSH\x-runikraft\lib\rknetdev\src\netbuf.rs", "Rust", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 30, 5, 37
"d:\OSH\x-runikraft\lib\rknetdev\src\netdev.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\OSH\x-runikraft\lib\rknetdev\src\netdev_core.rs", "Rust", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 133, 65, 420
"d:\OSH\x-runikraft\lib\rknetdev\src\netdev_driver.rs", "Rust", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 45, 9, 69
"d:\OSH\x-runikraft\lib\rkparam\src\lib.rs", "Rust", 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 69, 55, 316
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\device_tree.rs", "Rust", 0, 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 61, 67, 389
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\mod.rs", "Rust", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 3, 23
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\rtc\goldfish.rs", "Rust", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 4, 11, 67
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\rtc\mod.rs", "Rust", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 5, 4, 16
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\uart\mod.rs", "Rust", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 4, 17
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\uart\ns16550.rs", "Rust", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 36, 23, 152
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\blk.rs", "Rust", 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 92, 28, 334
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\console.rs", "Rust", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 13, 13, 161
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\gpu.rs", "Rust", 0, 0, 0, 410, 0, 0, 0, 0, 0, 0, 0, 47, 60, 517
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\hal.rs", "Rust", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 8, 13, 70
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\header.rs", "Rust", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 108, 58, 315
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\input.rs", "Rust", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 39, 21, 196
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\mod.rs", "Rust", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 38, 21, 121
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\net.rs", "Rust", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 52, 28, 239
"d:\OSH\x-runikraft\lib\rkplat\src\drivers\virtio\queue.rs", "Rust", 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 46, 32, 268
"d:\OSH\x-runikraft\lib\rkplat\src\lib.rs", "Rust", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 25, 10, 49
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\bootstrap.rs", "Rust", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 29, 21, 141
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\console.rs", "Rust", 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 18, 25, 142
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\constants.rs", "Rust", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 3, 12
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\device.rs", "Rust", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 10, 6, 33
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\exception.rs", "Rust", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 3, 56
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\intctrl.rs", "Rust", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 7, 5, 31
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\irq.rs", "Rust", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 26, 12, 95
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\lcpu.rs", "Rust", 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 43, 34, 252
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\mcause.rs", "Rust", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 9, 5, 52
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\mod.rs", "Rust", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 10, 9, 49
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\mstatus.rs", "Rust", 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 26, 13, 212
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\reg.rs", "Rust", 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 14, 5, 124
"d:\OSH\x-runikraft\lib\rkplat\src\riscv64\sbi.rs", "Rust", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 5, 40
