Date : 2022-06-29 17:10:55
Directory : d:\OSH\x-runikraft
Total : 123 files,  15836 codes, 3324 comments, 3146 blanks, all 22306 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Rust         |         92 |      8,084 |      3,161 |      1,552 |     12,797 |
| XML          |          2 |      2,861 |          1 |         20 |      2,882 |
| LaTeX        |          2 |      2,057 |         71 |        402 |      2,530 |
| Markdown     |         16 |      1,941 |          1 |      1,080 |      3,022 |
| Log          |          4 |        527 |          0 |         32 |        559 |
| BibTeX       |          1 |        127 |          0 |          3 |        130 |
| TeX          |          1 |         89 |         16 |         13 |        118 |
| Shell Script |          1 |         61 |          5 |         11 |         77 |
| Makefile     |          2 |         43 |         63 |         25 |        131 |
| C++          |          1 |         38 |          5 |          5 |         48 |
| Python       |          1 |          8 |          1 |          3 |         12 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                         |        123 |     15,836 |      3,324 |      3,146 |     22,306 |
| core                                                                      |         10 |        742 |        291 |        115 |      1,148 |
| core\src                                                                  |         10 |        742 |        291 |        115 |      1,148 |
| core\src\compat_list                                                      |          5 |        563 |        121 |         93 |        777 |
| dev-test                                                                  |          3 |         63 |          0 |         13 |         76 |
| dev-test\src                                                              |          3 |         63 |          0 |         13 |         76 |
| doc                                                                       |          1 |      1,679 |          0 |         18 |      1,697 |
| doc\assets                                                                |          1 |      1,679 |          0 |         18 |      1,697 |
| lib                                                                       |         66 |      6,280 |      2,786 |      1,266 |     10,332 |
| lib\rkalloc                                                               |          2 |        112 |         94 |         30 |        236 |
| lib\rkalloc\src                                                           |          1 |        105 |         90 |         26 |        221 |
| lib\rkalloc_buddy                                                         |          3 |        354 |        114 |         50 |        518 |
| lib\rkalloc_buddy\src                                                     |          2 |        316 |        109 |         45 |        470 |
| lib\rkalloc_buddy\support                                                 |          1 |         38 |          5 |          5 |         48 |
| lib\rkblkdev                                                              |          6 |        545 |        767 |        112 |      1,424 |
| lib\rkblkdev\src                                                          |          6 |        545 |        767 |        112 |      1,424 |
